site_id,longitude,latitude,actual_zone,soil_type,slope_percentage,landslide_hazard
SITE-0046,121.20369941385364,14.72556846700364,Forest Zone,Silty Clay,6.82,Moderate
SITE-0047,121.14583172728427,14.701712668564479,Buffer Zone,Sandy Loam,32.92,Low
SITE-0048,121.15590296182866,14.655748507639531,Forest Zone,Clay Loam,25.77,High
SITE-0049,121.16169667953935,14.673352095162986,Forest Zone,Clay Loam,22.83,Low
SITE-0050,121.16679120210615,14.663924726259449,Forest Zone,Sandy Loam,23.8,High
SITE-0051,121.16675834357756,14.66949310257137,Forest Zone,Clay Loam,20.49,High
SITE-0052,121.1975482632549,14.703335275881848,Forest Zone,Sandy Loam,8.15,Moderate
SITE-0053,121.13786458727886,14.680539091591479,Medium Density Residential Zone,Sandy Loam,31.71,High
SITE-0054,121.16096274276508,14.674116542169996,Forest Zone,Loam,30.69,Moderate
SITE-0055,121.21363977414047,14.71653109019941,Forest Zone,Silty Clay,31.64,Moderate
SITE-0056,121.15788233875247,14.685098175643358,Forest Zone,Silty Clay,5.24,High
SITE-0057,121.1680822506742,14.65894448086611,Forest Zone,Clay Loam,15.69,Moderate
SITE-0058,121.20195544655084,14.716610414996598,Forest Zone,Sandy Loam,26.24,High
SITE-0059,121.20602383066692,14.70489705387818,Forest Zone,Sandy Loam,13.37,Moderate
SITE-0060,121.19394846561666,14.672231859623842,Forest Zone,Clay Loam,10.72,Low
SITE-0061,121.1932777433055,14.683059522835107,Forest Zone,Clay Loam,32.99,Low
SITE-0062,121.15844280161659,14.667547713479177,Forest Zone,Loam,34.36,Low
SITE-0063,121.15402256528166,14.682584171469404,Medium Density Residential Zone,Clay Loam,4.71,Low
SITE-0064,121.17445863036608,14.717498586703488,Forest Zone,Clay Loam,13.51,High
SITE-0065,121.1565410091672,14.696676209815065,Forest Zone,Sandy Loam,28.46,High
SITE-0066,121.14521191713685,14.652886830479268,Medium Density Residential Zone,Sandy Loam,14.39,Moderate
SITE-0067,121.1540339006171,14.711014901295291,Forest Zone,Silty Clay,30.19,Moderate
SITE-0068,121.18327133944017,14.719838426843415,Forest Zone,Sandy Loam,8.17,Moderate
SITE-0069,121.18232991625456,14.697529736000444,Forest Zone,Clay Loam,13.45,Low
SITE-0070,121.18448483841794,14.66394377890401,Forest Zone,Sandy Loam,34.97,Moderate
SITE-0071,121.16142169114863,14.697208093060084,Forest Zone,Clay Loam,19.65,Low
SITE-0072,121.19469994815468,14.698154258021736,Forest Zone,Silty Clay,4.27,Moderate
SITE-0073,121.18633888832092,14.707622042223013,Forest Zone,Clay Loam,31.75,Moderate
SITE-0074,121.16153835854614,14.6658211316264,Forest Zone,Clay Loam,3.65,Moderate
SITE-0075,121.1854344567648,14.72781451141851,Forest Zone,Clay Loam,1.7,High
SITE-0076,121.16126489998591,14.703348403288064,Forest Zone,Clay Loam,26.54,Moderate
SITE-0077,121.1818482458747,14.713667325488007,Forest Zone,Sandy Loam,0.29,Low
SITE-0078,121.21214072641153,14.694616619040213,Forest Zone,Sandy Loam,2.8,Low
SITE-0079,121.20557432433333,14.67100413480709,Forest Zone,Clay Loam,13.19,Low
SITE-0080,121.1562607901455,14.658572455725894,Forest Zone,Sandy Loam,23.59,Low
SITE-0081,121.17353400981168,14.687203439933782,Forest Zone,Silty Clay,26.4,Moderate
SITE-0082,121.17151708596249,14.669775708056786,Forest Zone,Silty Clay,30.76,Moderate
SITE-0083,121.20324869769715,14.670707771741027,Forest Zone,Sandy Loam,10.1,Moderate
SITE-0084,121.15576859108157,14.68024043900244,Forest Zone,Clay Loam,8.45,High
SITE-0085,121.17444355347372,14.72006777812895,Forest Zone,Silty Clay,9.0,Low
SITE-0086,121.18443877739958,14.689152411625589,Forest Zone,Clay Loam,30.03,Moderate
SITE-0087,121.18729069857473,14.715962668302756,Forest Zone,Silty Clay,23.77,High
SITE-0088,121.2051480689682,14.719984614372,Forest Zone,Clay Loam,3.92,Low
SITE-0089,121.17099491698232,14.689635098579597,Forest Zone,Silty Clay,21.24,High
SITE-0090,121.18971650777983,14.71833352557908,Forest Zone,Silty Clay,23.87,Moderate
SITE-0091,121.20092437203546,14.728354015678304,Forest Zone,Sandy Loam,25.8,Low
SITE-0092,121.17586114333272,14.685392755150389,Forest Zone,Sandy Loam,11.97,Moderate
SITE-0093,121.21482975057592,14.686231158054941,Forest Zone,Clay Loam,13.63,Moderate
SITE-0094,121.18801639995046,14.686532815570516,Forest Zone,Sandy Loam,34.07,Moderate
SITE-0095,121.15584855067172,14.67782380377255,Medium Density Residential Zone,Clay Loam,18.54,Moderate
SITE-0096,121.19357274914977,14.726661895935292,Forest Zone,Silty Clay,25.06,Moderate
SITE-0097,121.17140956447632,14.663794605667361,Forest Zone,Silty Clay,15.87,Moderate
SITE-0098,121.17799071361452,14.689533703029074,Forest Zone,Sandy Loam,13.47,Moderate
SITE-0099,121.20826219960796,14.67193163231739,Forest Zone,Sandy Loam,24.54,Low
SITE-0100,121.14549324325912,14.66083578338315,Medium Density Residential Zone,Clay Loam,10.2,Low
